id_employee,age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augmentation_salaire_pourcentage,nombre_participation_pee,nb_formations_suivies,niveau_education,frequence_deplacement,annes_sous_responsable_actuel,ratio_loyaute,ratio_stagnation,ratio_salaire_comparatif,taux_volatilite,delta_evaluation,frustration_trajet,genre_M,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,heure_supplementaires_Oui,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,a_quitte_l_entreprise
1,41,5993,8,8,4,2,3,4,1,1,3,11,0,0,2,1,5,0.1463414634146341,0.0,0.8655052573522083,0.8888888888888888,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,49,5130,1,10,7,3,2,2,4,3,4,23,1,3,1,2,7,0.2040816326530612,0.0909090909090909,1.583346722025385,0.0909090909090909,2,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,37,2090,6,7,0,4,2,3,2,3,3,15,0,3,2,1,0,0.0,0.0,0.6456256776081878,0.75,1,0.5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
5,33,2909,1,8,7,4,3,3,3,3,3,11,0,3,4,2,0,0.2424242424242424,0.3333333333333333,0.8978470983180984,0.1111111111111111,0,0.75,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,27,3468,9,6,2,1,3,2,4,3,3,12,1,3,1,1,2,0.074074074074074,0.6666666666666666,1.0713061482991364,1.2857142857142858,0,0.5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,32,3068,0,8,7,4,3,4,3,2,3,13,0,2,2,2,6,0.21875,0.375,0.9477414253119234,0.0,0,0.6666666666666666,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10,59,2670,4,12,0,3,4,1,1,2,4,20,3,3,3,1,0,0.0169491525423728,0.0,0.8247945259396465,0.3076923076923077,0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
11,30,2693,1,1,0,4,3,3,2,3,4,22,1,2,1,1,0,0.0333333333333333,0.0,0.8318994975114113,0.5,1,6.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,38,9526,0,10,7,4,2,3,2,3,4,21,0,2,3,2,8,0.2368421052631578,0.1,1.305801218572597,0.0,2,5.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
13,36,5237,6,17,7,3,3,3,2,2,3,13,2,3,3,1,7,0.1944444444444444,0.875,0.6955989649872043,0.3333333333333333,0,9.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
